County,County code,Date,Fuel type,Region,Count,Count/population,Count/population (delta cf. prev. year)
Upplands Väsby,114,1/1/2013,Diesel,Stockholms län,846,0.020410625,0
Upplands Väsby,114,1/1/2013,Electric hybrids,Stockholms län,33,0.000796159,0
Upplands Väsby,114,1/1/2013,Electricty,Stockholms län,0,0,0
Upplands Väsby,114,1/1/2013,Ethanol,Stockholms län,8,0.000193008,0
Upplands Väsby,114,1/1/2013,Gas,Stockholms län,686,0.01655046,0
Upplands Väsby,114,1/1/2013,NG,Stockholms län,15,0.000361891,0
Upplands Väsby,114,1/1/2013,Plug-in hybrids,Stockholms län,8,0.000193008,0
Upplands Väsby,114,1/1/2014,Diesel,Stockholms län,978,0.023388177,0.002977552
Upplands Väsby,114,1/1/2014,Electric hybrids,Stockholms län,29,0.000693514,-0.000102645
Upplands Väsby,114,1/1/2014,Electricty,Stockholms län,3,7.17E-05,7.17E-05
Upplands Väsby,114,1/1/2014,Ethanol,Stockholms län,1,2.39E-05,-0.000169094
Upplands Väsby,114,1/1/2014,Gas,Stockholms län,673,0.016094318,-0.000456142
Upplands Väsby,114,1/1/2014,NG,Stockholms län,17,0.000406543,4.47E-05
Upplands Väsby,114,1/1/2014,Plug-in hybrids,Stockholms län,54,0.001291372,0.001098363
Upplands Väsby,114,1/1/2015,Diesel,Stockholms län,852,0.019971402,-0.003416774
Upplands Väsby,114,1/1/2015,Electric hybrids,Stockholms län,26,0.000609456,-8.41E-05
Upplands Väsby,114,1/1/2015,Electricty,Stockholms län,10,0.000234406,0.000162663
Upplands Väsby,114,1/1/2015,Ethanol,Stockholms län,0,0,-2.39E-05
Upplands Väsby,114,1/1/2015,Gas,Stockholms län,493,0.011556222,-0.004538096
Upplands Väsby,114,1/1/2015,NG,Stockholms län,19,0.000445372,3.88E-05
Upplands Väsby,114,1/1/2015,Plug-in hybrids,Stockholms län,25,0.000586015,-0.000705356
Upplands Väsby,114,1/1/2016,Diesel,Stockholms län,835,0.019024401,-0.000947001
Upplands Väsby,114,1/1/2016,Electric hybrids,Stockholms län,38,0.000865781,0.000256325
Upplands Väsby,114,1/1/2016,Electricty,Stockholms län,10,0.000227837,-6.57E-06
Upplands Väsby,114,1/1/2016,Ethanol,Stockholms län,0,0,0
Upplands Väsby,114,1/1/2016,Gas,Stockholms län,569,0.012963933,0.001407711
Upplands Väsby,114,1/1/2016,NG,Stockholms län,40,0.000911349,0.000465977
Upplands Väsby,114,1/1/2016,Plug-in hybrids,Stockholms län,27,0.00061516,2.91E-05
Upplands Väsby,114,1/1/2017,Diesel,Stockholms län,940,0.021073871,0.002049469
Upplands Väsby,114,1/1/2017,Electric hybrids,Stockholms län,67,0.001502074,0.000636293
Upplands Väsby,114,1/1/2017,Electricty,Stockholms län,13,0.000291447,6.36E-05
Upplands Väsby,114,1/1/2017,Ethanol,Stockholms län,0,0,0
Upplands Väsby,114,1/1/2017,Gas,Stockholms län,739,0.016567649,0.003603716
Upplands Väsby,114,1/1/2017,NG,Stockholms län,14,0.000313866,-0.000597482
Upplands Väsby,114,1/1/2017,Plug-in hybrids,Stockholms län,34,0.000762246,0.000147086
Upplands Väsby,114,1/1/2018,Diesel,Stockholms län,766,0.01681927,-0.004254601
Upplands Väsby,114,1/1/2018,Electric hybrids,Stockholms län,66,0.00144918,-5.29E-05
Upplands Väsby,114,1/1/2018,Electricty,Stockholms län,15,0.000329359,3.79E-05
Upplands Väsby,114,1/1/2018,Ethanol,Stockholms län,0,0,0
Upplands Väsby,114,1/1/2018,Gas,Stockholms län,795,0.017456031,0.000888381
Upplands Väsby,114,1/1/2018,NG,Stockholms län,11,0.00024153,-7.23E-05
Upplands Väsby,114,1/1/2018,Plug-in hybrids,Stockholms län,45,0.000988077,0.000225831
Upplands Väsby,114,1/1/2019,Diesel,Stockholms län,386,0.008250331,-0.008568938
Upplands Väsby,114,1/1/2019,Electric hybrids,Stockholms län,195,0.004167913,0.002718734
Upplands Väsby,114,1/1/2019,Electricty,Stockholms län,64,0.001367931,0.001038572
Upplands Väsby,114,1/1/2019,Ethanol,Stockholms län,0,0,0
Upplands Väsby,114,1/1/2019,Gas,Stockholms län,750,0.016030436,-0.001425594
Upplands Väsby,114,1/1/2019,NG,Stockholms län,6,0.000128243,-0.000113286
Upplands Väsby,114,1/1/2019,Plug-in hybrids,Stockholms län,86,0.001838157,0.00085008
Upplands Väsby,114,1/1/2020,Diesel,Stockholms län,168,0.003560529,-0.004689802
Upplands Väsby,114,1/1/2020,Electric hybrids,Stockholms län,97,0.002055782,-0.002112132
